id,calories,proteins,fat,carbohydrate,name,kategori
1222,54.0,11.0,0.0,0.8,Telur Bebek bagian putih,lauk
1223,54.0,11.0,0.0,0.8,Telur bebek bagian putih segar,lauk
1224,320.0,15.1,30.5,0.9,Telur Bebek ceplok,lauk
1225,301.0,20.0,23.7,0.0,Telur Bebek dadar,lauk
1226,187.0,10.9,12.4,7.9,Telur bebek tambak segar,lauk
1227,195.0,13.6,13.6,1.4,Telur Bebek telur asin,lauk
1228,116.0,10.7,7.0,1.6,Telur burung puyuh segar,lauk
1229,144.0,12.0,10.2,0.0,Telur Penyu,lauk
1230,425.0,31.0,28.0,10.0,Telur Terubuk,lauk
1231,119.0,4.4,3.5,18.3,Tempe bongkrek,bahan pangan
1232,73.0,5.7,1.3,4.2,Tempe Gembus,bahan pangan
1233,76.0,6.8,0.7,10.6,Tempe gembus yogya,bahan pangan
1234,328.0,18.4,23.2,12.8,Tempe Goreng ,bahan pangan
1235,139.0,12.5,0.8,21.9,Tempe kacang babi,bahan pangan
1236,212.0,17.5,10.0,12.9,Tempe kacang belimbing,bahan pangan
1237,143.0,12.0,5.5,11.4,Tempe kedelai + jagung,bahan pangan
1238,350.0,24.5,26.6,10.4,Tempe kedelai murni goreng,bahan pangan
1239,201.0,20.8,8.8,13.5,Tempe kedelai murni mentah,bahan pangan
1240,141.0,10.2,1.3,23.2,Tempe koro benguk,bahan pangan
1241,146.0,11.7,2.3,19.6,Tempe lamtoro var. gung dengan kulit,bahan pangan
1242,131.0,18.0,0.8,13.0,Tempe lamtoro var. gung tanpa kulit,bahan pangan
1243,150.0,14.0,7.7,9.1,Tempe pasar segar,bahan pangan
1244,336.0,20.0,28.0,7.8,Tempe pasar goreng,bahan pangan
1245,240.0,6.0,2.7,49.3,Tempe Sayur ,sayur
1246,110.0,1.7,1.3,21.9,Tempoya,bahan pangan
1247,126.0,1.1,2.2,25.7,Tempuyak,bahan pangan
1248,355.0,0.7,0.2,85.2,Tepung Arrowroot,bahan pokok
1249,364.0,7.0,0.5,80.0,Tepung Beras,bahan pokok
1250,353.0,7.0,0.5,80.0,Tepung beras mentah,bahan pokok
1251,353.0,0.8,1.7,83.6,Tepung Ganyong,bahan pokok
1252,363.0,1.1,0.5,88.2,Tepung Gaplek,bahan pokok
1253,355.0,0.7,0.2,85.2,Tepung Garut (arrowroot),bahan pokok
1254,364.0,4.5,1.0,83.5,Tepung Hunkwee,bahan pokok
1255,316.0,60.1,6.5,22.4,Tepung Ikan,bahan pokok
1256,355.0,9.2,3.9,73.7,Tepung Jagung Kuning,bahan pokok
1257,355.0,9.2,3.9,73.7,Tepung jagung putih,bahan pokok
1258,388.0,19.0,7.5,61.2,Tepung Jalejo,bahan pokok
1259,347.0,35.9,20.6,29.9,Tepung Kacang Kedelai,bahan pokok
1260,347.0,0.3,0.1,85.6,Tepung Kentang,bahan pokok
1261,350.0,1.2,0.6,85.0,Tepung Mocaf,bahan pokok
1262,338.0,2.9,0.4,80.6,Tepung Pisang,bahan pokok
1263,353.0,0.7,0.2,84.7,Tepung Sagu,bahan pokok
1264,326.0,4.0,0.4,76.7,Tepung Sente,bahan pokok
1265,363.0,1.1,0.5,88.2,Tepung singkong/ Tapioka,bahan pokok
1266,353.0,2.9,0.5,84.4,Tepung Sukun,bahan pokok
1267,509.0,24.6,30.0,36.2,Tepung Susu,bahan pokok
